name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars
Kilian Stuba,2019,47.34858,10.17114,Kleinwalsertal,Austria,87568,Creative,Max,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,one
Pfefferschiff,2019,47.83787,13.07917,Hallwang,Austria,5300,Classic cuisine,Max,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,one
Esszimmer,2019,47.80685,13.03409,Salzburg,Austria,5020,Creative,Max,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,one
Carpe Diem,2019,47.80001,13.04006,Salzburg,Austria,5020,Market cuisine,Max,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,one
Edvard,2019,48.216503,16.36852,Wien,Austria,1010,Modern cuisine,Max,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,one
Das Loft,2019,48.21272,16.37931,Wien,Austria,1020,Modern cuisine,Max,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,one
Pramerl & the Wolf,2019,48.20945,16.37174,Wien,Austria,1090,Creative,Max,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,one
Walter Bauer,2019,48.20923,16.37672,Wien,Austria,1010,Classic cuisine,Max,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,one
SHIKI,2019,48.204067,16.37098,Wien,Austria,1010,Japanese,Max,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,one
Tian,2019,48.20513,16.37456,Wien,Austria,1010,Vegetarian,Max,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,one
aend,2019,48.18957,16.34115,Wien,Austria,1010,Modern cuisine,Max,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,one
Le Ciel by Toni Mörwald,2019,48.20209,16.37156,Wien,Austria,1010,Classic cuisine,Max,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,one
Chez TJ,2019,37.39468,-122.08044,South San Francisco,California,94041,Contemporary,Max,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,one
Protégé,2019,37.427853,-122.14362,South San Francisco,California,94301,Contemporary,Max,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,one
Madera,2019,37.42014,-122.21151,San Francisco,California,94025,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,one
The Village Pub,2019,37.42897,-122.25178,San Francisco,California,94062,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,one
Plumed Horse,2019,37.25648,-122.03537,South San Francisco,California,95070,Contemporary,Max,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,one
Wakuriya,2019,37.52114,-122.3366,San Francisco,California,94402,Japanese,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya,one
Sushi Yoshizumi,2019,37.565075,-122.3211,San Francisco,California,94401,Japanese,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi,one
Rasa,2019,37.577522,-122.345985,San Francisco,California,94010,Indian,Min,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa,one
Maum,2019,37.72669,-122.414215,South San Francisco,California,94101,Korean,Max,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum,one
Al's Place,2019,37.748924,-122.42013,San Francisco,California,94110,Californian,Min,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place,one
Aster,2019,37.755054,-122.423134,San Francisco,California,94110,Californian,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster,one
Omakase,2019,37.77077,-122.40298,San Francisco,California,94103,Japanese,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase,one
Commonwealth,2019,37.761395,-122.41946,San Francisco,California,94110,Contemporary,Min,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth,one
Luce,2019,37.78194,-122.40498,San Francisco,California,94103,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce,one
Birdsong,2019,37.779495,-122.41048,San Francisco,California,94101,American,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong,one
In Situ,2019,37.785633,-122.40113,San Francisco,California,94103,International,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ,one
